label,hu-HU,de-CH,nl-BE,es,en,fr,zh,ru,th,tr,id,pt-Br,hr-HR
customers_account_number,Számla #,Konto-Nr.,Btwnummer,Cuenta #,Account #,# Compte,帳號 #,Номер счота,บัญชี #,Hesap No,No.Pelanggan,Conta nº,IBAN:
customers_account_number_duplicate,Ez a számlaszám már szerepel az adatbázisban.,Diese Konto-Nr. existiert bereits,Deze VAT nummer is reeds aanwezig in de database,Este número de cuenta ya esta en la base de datos,This account number is already present in the database,This account number is already present in the database,This account number is already present in the database,This account number is already present in the database,This account number is already present in the database,This account number is already present in the database,This account number is already present in the database,Este número de conta já está presente na base de dados,Ovaj IBAN već postoji
customers_cannot_be_deleted,"Nem lehet törölni a kiválasztott vevőket, mert néhánynak már van eladása.","Kunde kann nicht gelöscht werden, ein oder mehrere Kunden weisen Verkäufe auf",De geselecteerde klanten konden niet worden verwijderd. Eén of meerdere klanten hebben verkoopsgegevens in de database zitten.,No se pudo borrar los clientes seleccionados. Uno o más de éstos tiene ventas.,"Could not deleted selected customers, one or more of the selected customers has sales.",Impossible de supprimer. Un ou plusiers client(s) sélectionné(s) ont des ventes.,無法刪除選定的客戶，選定的客戶存有銷售紀錄。,"Невозможно удалить выбранных клиентов, один или более из них имеет продаж.","ไม่สามารลบลูกค้าที่ถูกเลือก, ลูกค้าที่ถูกเลือกถูขายไปแล้ว.","Seçili müşteriler silinemedi, müşterilerin satışları var.",pelanggan terpilih tidak bisa dihapus. satu atau lebih dari pelanggan yang dipilih memiliki penjualan.,Não foi possível excluir clientes selecionados um ou mais dos Clientes selecionados tem vendas.,"Ne može se obrisati odabranog kupca, jer jedan ili više odabranih kupaca imaju prodaju."
customers_company_name,Cég neve.,Firmenname,Bedrijfsnaam,Nombre del Comercio,Company,Company,Company,Company,Company,Company,Company,Empresa,Naziv tvrtke
customers_confirm_delete,Biztos törölni kívánja a kiválasztott vevőket?,Wollen Sie die gewählten Kunden wirklich löschen?,Bent u zeker dat u de geselecteerde klanten wil verwijderen?,¿Seguro(a) de que quieres borrar a los clientes seleccionados?,Are you sure you want to delete the selected customers?,Etes vous sûr(e) de vouloir supprimer ces clients?,你確定要刪除選定的客戶？,"Вы уверены, что хотите удалить выбранных клиентов?",ยืนยันลบข้อมูลลูกค้า?,Seçili müşteriyi silmek istediğinize emin misiniz?,Apakah Anda yakin ingin menghapus pelanggan yang dipilih?,Tem certeza de que deseja excluir os clientes selecionados?,Želite li obrisati odabranog kupca?
customers_customer,Vevő,Kunde,Klant,Cliente,Customer,Client,客戶,Клиент,ลูกค้า,Müşteri,Pelanggan,Cliente,Kupac
customers_discount,Discount,Discount,Discount,Discount,Discount,Discount,Discount,Discount,Discount,Discount,Discount,Desconto,Discount
customers_error_adding_updating,Hiba a vásárló modosításánál/hozzáadásánál,Fehler beim Hinzufügen/Ändern,Fout bij het toevoegen/bewerken van een klant,Error agregando/actualizando cliente,Error adding/updating customer,Érreur lors de l'ajout/suppression de client,添加/更新客戶錯誤,Ошибка при добавлении/обновлении клиента,แก้ไขข้อมูลลูกค้าผิดพลาด,Müşteri ekleme/güncelleme hatası,Menambah / Memperbarui Pelanggan Salah,Erro adicionar/atualizar cliente,Greška kod dodavanja/ažuriranja kupca
customers_new,Új vevő,Neuer Kunde,Nieuwe Klant,Nuevo Cliente,New Customer,Nouveau Client,新客戶,Новый Клиент,ลูกค้าใหม่,Yeni Müşteri,Pelanggan Baru,Novo Cliente,Novi kupac
customers_none_selected,Nem választott ki egyetlen vásárlót sem a törléshez,Sie haben keinen Kunde zum Löschen gewählt,U hebt geen klanten geselecteerd,No has seleccionado clientes para ser borrados,You have not selected any customers to delete,Vous n'avez pas sélectionné de client à supprimer,您還沒有選擇任何客戶進行刪除,"Вы не выбрали ни клиентов, чтобы удалить.",คุณยังไม่ได้ทำการเลือกลูกค้า,Silmek için müşteri seçmediniz,Anda belum memilih pelanggan untuk dihapus,Você não selecionou nenhum clientes para apagar,Niste odabrali nijednog kupca za brisanje
customers_one_or_multiple,vevő(k),Kunde(n),klant(en) verwijderd,cliente(s),customer(s),client(s),客戶,клиент(ов),ลูกค้า,müşteri,pelanggan,Cliente(s),Kupac(i)
customers_successful_adding,Sikeresen hozzáadott egy vevőt,Kunde erfolgreich hinzugefügt,Klant succesvol aangemaakt,Has agregado satisfactoriamente el cliente,You have successfully added customer,Vous avez ajouté un nouveau client,成功新增顧客,Вы успешно добавили клиентов,คุณได้ทำการเพิ่มลูกค้าเรียบร้อยแล้ว,Müşteri eklendi,Anda telah berhasil menambah pelanggan,Você adicionou o cliente com sucesso,Uspješno ste dodali kupca
customers_successful_deleted,Sikeres törlés.,Löschung erfolgreich,Er werd(en),Has borrado satisfactoriamente a,You have successfully deleted,Suppréssion réussie,成功刪除,Вы успешно удалили,คุณได้ทำการลบข้อมูลเรียบร้อยแล้ว,Silme başarılı,Anda telah berhasil menghapus pelanggan,Você excluiu com sucesso,Kupac je uspješno obrisan
