label,hu-HU,de-CH,nl-BE,es,en,fr,zh,ru,th,tr,id,pt-BR,hr-HR
module_config,Bolt beállítás,Einstellungen,Configuratie,Configuración de la Tienda,Store Config,Paramètres,系統配置,Конфигурацию магазина,ตั้งค่า,Yapılandırma,Konfigurasi,Configurações,Postavke
module_config_desc,Bolt beállításainak módosítása,Einstellungen ändern,Globale configuratie aanpassen,Cambiar la configuración de la tienda,Change the store's configuration,Paramètres de la boutique,修改系統配置,Изменить конфигурацию магазина,ปรับแต่งร้านค้า,Yapılandırma bilgisi görme ve düzenleme,Ubah Konfigurasi Toko,Alterar configurações do sistema,Promijeni postavke
module_customers,Vevők,Kunden,Klanten,Clientes,Customers,Clients,客戶,Клиенты,ลูกค้า,Müşteriler,Pelanggan,Clientes,Kupci
module_customers_desc,"Vevők hozzáadása, módosítása, törlése és keresése","Hinzufügen, Ändern, Löschen und Suchen","Zoek, bewerk, verwijder en voeg klanten toe","Agregar, Actualizar, Borrar y Buscar clientes","Add, Update, Delete, and Search customers","Ajouter, Éditer, Supprimer, et Chercher des clients",添加，更新，刪除，搜索客戶,"Добавление, обновление, удаление и поиск клиентов","เพิ่ม, อัพเดท, ลบ, และค้นหา ลูกค้า","Ekleme, değiştirme, silme ve arama","Tambah, Rubah, Hapus, dan Cari Pelanggan ","Adicionar, atualizar,  excluir e Pesquisar clientes","Dodaj, ažuriraj, obriši ili traži kupce"
module_employees,Dolgozók,Mitarbeiter,Werknemers,Empleados,Employees,Employés,員工,Сотрудники,พนักงาน,Personeller,Karyawan,Funcionários,Radnici
module_employees_desc,"Dolgozók hozzáadása, módosítása, törlése és keresése","Hinzufügen, Ändern, Löschen und Suchen","Zoek, bewerk, verwijder en voeg werknemers toe","Agregar, Actualizar, Borrar y Buscar empleados","Add, Update, Delete, and Search employees","Ajouter, Éditer, Supprimer, et Chercher des employés",添加，更新，刪除，搜索員工,"Добавление, обновление, удаление и поиск сотрудники","เพิ่ม, อัพเดท, ลบ, และค้นหา พนักงาน","Ekleme, değiştirme, silme ve arama","Tambah, Rubah, Hapus, dan Cari Karyawan","Adicionar , atualizar,  excluir e Pesquisar funcionários","Dodaj, ažuriraj, obriši ili traži radnike"
module_giftcards,Utalvány,Gutscheine,Cadeaubons,Tarjetas de Regalo,Gift Cards,Cartes Cadeau,禮金券,Подарочные карты,บัตรกำนัล,Hediye Çekleri,Gift Card,Cartões Presente,Poklon bon
module_giftcards_desc,"Ajándékutalványok hozzáadása, módosítása, törlése és keresése","Hinzufügen, Ändern, Löschen und Suchen","Zoek, bewerk, verwijder en voeg cadeaubons toe","Agregar, Actualizar, Borrar y Buscar Tarjetas de Regalo","Add, Update, Delete and Search gift cards","Ajouter, Éditer, Supprimer, et Chercher des cartes cadeau",添加，更新，刪除，搜索禮金券,"Добавление, обновление, удаление и поиск подарочные карты","เพิ่ม, อัพเดท, ลบ, และค้นหา บัตรกำนัล","Ekleme, değiştirme, silme ve arama","Tambah, Rubah, Hapus dan Cari Gift Card","Adicionar,  atualizar, excluir e Pesquisar cartões presente","Dodaj, ažuriraj, obriši ili traži poklon bon"
module_home,Kezdőlap,Home,Home,Inicio,Home,Accueil,首頁,Дома,Home,Giriş,Beranda,Home,Početna
module_item_kits,Termék csomagok,Artikel-Sets,Productsets,Kits de Artículos,Item Kits,Items vendus en Kits,產品套件,товара комплекти,สินค้าหมู่,Ürün Setleri,Item Paket,Conjunto de itens,Normativi
module_item_kits_desc,"Termék csomagok hozzáadása, módosítása, törlése és keresése","Hinzufügen, Ändern, Löschen und Suchen","Zoek, bewerk, verwijder en voeg productsets toe","Agregar, Actualizar, Borrar y Buscar Kits de Artículos","Add, Update, Delete and Search Item Kits","Ajouter, Éditer, Supprimer, et Chercher des items vendus en kits",添加，更新，刪除，搜索產品套件,"Добавление, обновление, удаление и поиск товара комплекти","เพิ่ม, อัพเดท, ลบ, และค้นหา สินค้าหมู่","Ekleme, değiştirme, silme ve arama","Tambah, Rubah, Hapus dan Cari Item Paket","Adicionar , atualizar, excluir e Pesquisar conjunto de itens","Dodaj, ažuriraj, obriši ili traži normative"
module_items,Termékek,Artikel,Producten,Artículos,Items,Items vendus,產品,Товары,สินค้า,Ürünler,Item Barang,Itens,Artikli
module_items_desc,"Termékek hozzáadása, módosítása, törlése és keresése","Hinzufügen, Ändern, Löschen und Suchen","Zoek, bewerk, verwijder en voeg producten toe","Agregar, Actualizar, Borrar y Buscar artículos","Add, Update, Delete, and Search items","Ajouter, Éditer, Supprimer, et Chercher des items en vente",添加，更新，刪除，搜索產品,"Добавление, обновление, удаление и поиск товары","เพิ่ม, อัพเดท, ลบ, และค้นหา สินค้า","Ekleme, değiştirme, silme ve arama","Tambah, Rubah, Hapus, dan Cari Item Barang","Adicionar,  atualizar,  excluir e Pesquisar itens","Dodaj, ažuriraj, obriši ili traži artikle"
module_receivings,Áruátvétel,Eingänge,Orders,Recepción,Receivings,Entrées Stock,進貨,получении,สินค้าเข้า,Alımlar,Penerimaan,Recebimento,Primka
module_receivings_desc,Beszállítóktól érkező áruk átvétele,"Hinzufügen, Ändern, Löschen und Suchen",Verwerk binnenkomende orders,Procesar órdenes de compra,Process Purchase orders,Gérer les ordres d'achat,採購訂單流程,Процесс покупки заказов,สินค้าเข้า,Alım işlemleri,Proses Order Penerimaan Barang Masuk,Processar ordens,"Dodaj, ažuriraj, obriši ili traži primke"
module_reports,Riportok,Berichte,Rapporten,Reportes,Reports,Rapports,報表,Отчеты,รายงาน,Raporlar,Laporan,Relatórios,Izvještaji
