label,hu-HU,de-CH,nl-BE,es,en,fr,zh,ru,th,tr,id
receivings_transaction_failed,Átvételi tranzakció sikertelen,Eingangstransaktion fehlerhaft,Order transactie mislukt,Las Transacciones de Entrada Fallaron,Receivings Transactions Failed,Échec d'opération d'arrivage,進貨交易失敗,Ошибка Получение транзакции,,Alım İşlemi Hatası,Transaksi Penerimaan Salah
recvs_cancel_receiving,Mégsem,Abbrechen,Annuleer,Cancelar,Cancel,,,,,,Batal
recvs_cannot_be_deleted,Átvétel(ek) nem törölhető(ek),Eingangsbestellung(en) konnten nicht gelöscht werden,Order(s) konden niet verwijderd worden,Ingreso(s) no pueden borrarse,Receiving(s) could not be deleted,,,,,,Tidak bisa dihapus
recvs_comments,Megjegyzések,Kommentare,Commentaar,Comentarios,Comments,,,,,,Keterangan
recvs_complete_receiving,Befejez,Abschliessen,Bevestig,Terminar,Finish,Fin,完成,заканчивать,,Tamamla,Selesai
recvs_confirm_cancel_receiving,"Biztos, hogy üriti az átvételt? MINDEN termék eltávolitásra kerül.",Wollen Siesen Wareneingang annullieren? Alle Einträge werden gelöscht.,Bent u zeker dat u dit order wil wissen?,¿Estás seguro(a) de querer limpiar esta entrada? Todos los artículos serán limpiados.,Are you sure you want to clear this receiving? All items will cleared.,Etes vous sûr(e) de vouloir annuler cet arrivage?,您確定要刪除此進貨資料嗎？本資料中所有的產品資料也將會被清空。,"Вы уверены, что хотите удалить это получение? Все детали будут очищены.",,Bu alımı iptal etmek istiyor musunuz? Tüm ürünler çıkarılacak.,Apakah anda yakin untuk menghapus Penerimaan Barang masuk ini? Semua item Akan dihapus.
recvs_confirm_finish_receiving,Biztosan beküldi ezt az átvételt? Nem lehet visszavonni!,Wollen Sie diesen Wareneingang verabeiten? Dieser Schritt kann nicht rückgängig gemacht werden.,Bent u zeker dat u dit order wil ingeven? Dit kan niet ongedaan gemaakt worden.,¿Estás seguro(a) de querer procesar esta entrada? Ésto no puede ser deshecho.,Are you sure you want to submit this receiving? This cannot be undone.,Etes vous sûr(e) de vouloir valider cet arrivage (Irréversible)?,您確定要提交此進貨資料嗎？一旦送出將不能撤消。,"Вы уверены, что хотите представить это получение? Это не может быть отменено.",,Alımı tamamlamak istediğinize emin misiniz? İşlem geri alınamaz.,Apakah anda yakin untuk memproses Penerimaan Barang masuk ini? Proses ini tidak dapat dibatalkan.
recvs_cost,Költség,Kosten,Kost,Costo,Cost,Cout,成本,стоимость,,Ücret,Harga
recvs_date,Beérkezés dátuma,Eingangsdatum,Order Datum,Fecha de Recepción,Receiving Date,,,,,,Tanggal
recvs_date_required,Korrekt dátumot kell megadni,Ein korrektes Datum ist erforderlich,Er moet een correcte datum ingevuld worden,Una fecha correcta debe ser ingresada,A correct date needs to be filled in,,,,,,Tanngalnya harus diisi
recvs_date_type,Dátum mező kötelező,Datum ist erforderlich,Datum is vereist,Campo Fecha es requerido,Date field is required,,,,,,Model Tanggal
recvs_delete_confirmation,"Biztos, hogy törli az átvételt? Nem lehet visszavonni!",Wollen Sie diesen Eingang wirklich löschen? Rückgängig nicht möglich,Bent u zeker dat u dit order wil verwijderen? Dit kan niet ongedaan gemaakt worden.,¿Seguro(a) que desea borrar este ingreso? Esta acción no se puede deshacer,"Are you sure you want to delete this receiving, this action cannot be undone",,,,,,Konfirmasi Hapus
