label,hu-HU,de-CH,nl-BE,es,en,fr,zh,ru,th,tr,id,pt-BR
reports_all,Összes,Alle,Alle,Todo,All,Tous,全部,все,ทั้งหมด,Hepsi,Semua,Todos
reports_categories,Kategóriák,Kategorien,Categorieën,Categorías,Categories,Catégories,類別,Категории,หมวดหมู่,Kategoriler,Kategori,Categorias
reports_categories_summary_report,Kategóriák összegző riport,Bericht: Kategorien (summarisch),Rapport Overzicht Categorieën,Reporte de Resumen de Categorías,Categories Summary Report,Rapport: Résumé des Catégories,分類摘要報告,Сводный отчет Категории,รายงานสรุปหมวดหมู่,Kategori Özet Raporu,Laporan Ringkasan Kategori,Categorias Resumo Relatório
reports_category,Kategória,Kategorie,Categorie,Categoría,Category,Catégorie,類別,категория,หมวดหมู่,Kategori,Kategori,Categoria
reports_comments,Megjegyzések,Kommentare,Commentaar,Comentarios,Comments,Commentaires,評論,Комментарии,หมายเหตุ,Yorumlar,Catatan,Comentário
reports_count,Darabszám,Anzahl,Aantal,Cuenta,Count,Décompte,計,подсчет,นับ,Sayı,Jumlah,Quantidade
reports_customer,Vevő,Kunde,Klant,Cliente,Customer,Client,客戶,клиент,ลูกค้า,Müşteri,Pelanggan,Cliente
reports_customers,Vevők,Kunden,Klanten,Clientes,Customers,Clients,客戶,Клиенты,ลูกค้า,Müşteriler,Pelanggan,Clientes
reports_customers_summary_report,Vevők összegző riport,Bericht: Kunden (summarisch),Rapport Overzicht Klanten,Reporte de Resumen de Clientes,Customers Summary Report,Rapport: Résumé Clientelle,客戶摘要報告,Сводный отчет клиентов,รายงานสรุปลูกค้า,Müşteri Özet Raporu,Laporan Ringkasan Pelanggan,Clientes Resumo Relatório
reports_date,Dátum,Datum,Datum,Fecha,Date,Date,日期,число,วันที่,Tarih,Tanggal,Data
reports_date_range,Dátum periódus,Zeitraum,Periode,Rango de Fecha,Date Range,Plage de dates,日期範圍,размах числа,ระหว่างวันที่,Tarih Aralığı,Rentang Tanggal,Período
reports_description,Leirás,Bezeichnung,Omschrijving,Descripción,Description,Description,描述,описание,คำอธิบาย,Tanım,Deskripsi,Descrição
reports_detailed_receivings_report,Részletes átvételi riportok,Bericht: Wareneingänge (detailliert),Gedetailleerd Raport Orders,Reporte Detallado de Entradas,Detailed Receivings Report,Rapport d'Arrivages Détaillé,詳細的進貨報告,Детальный отчет о поступлениях,รายงานรายละเอียกการรับของ,Detaylı Alım Raporu,Laporan Detail Barang Masuk,Detailed Recebimento Relatório
reports_detailed_reports,Részletes riportok,Berichte (detailliert),Gedetailleerde Rapporten,Reportes Detallados,Detailed Reports,Rapports Détaillés,詳細報表,Подробные отчеты,รายละเอียดรายงาน,Detaylı Raporlar,Perincian Laporan,Relatório Detalhado
reports_detailed_requisition_report,,Bericht: Bedarf (detailliert),,Reporte Detallado de Requisiciones,,,,,รายงานรายละเอียดการเบิกของ,,Rincian Daftar Laporan Permintaan,
reports_detailed_sales_report,Részletes értékesítési riport,Bericht: Verkäufe (detailliert),Gedetailleerd Rapport Verkoop,Reporte de Ventas Detallado,Detailed Sales Report,Rapport de Ventes Détaillé,詳細銷售報表,Подробный отчет о продажах,รายงายงานขาย,Detaylı Satış Raporu,Laporan Perincian Penjualan,Detailed Sales Relatório
reports_discount,Kedvezmény,Rabatt,Korting,Descuento,Discount,Remise,折扣,скидка,ส่วนลด,İndirim,Diskon,Desconto
reports_discount_percent,Kedvezmény százalék,Rabatt %,Kortingspercentage,Porcentaje de Descuento,Discount Percent,Pourcentage Remises,折扣率,процентную скидку,เปอร์เซ็นต์ส่วนลด,İndirim Yüzdesi,Persen Diskon,Desconto Percentual
reports_discounts,Kedvezmények,Rabatte,Kortingen,Descuentos,Discounts,Remises,折扣,Скидки,ส่วนลด,İndirimler,Diskon,Descontos
reports_discounts_summary_report,Kedvezmények összegző riport,Bericht: Rabatte (summarisch),Overzicht Kortingen,Reporte de Resumen de Descuentos,Discounts Summary Report,Rapport: Résumé des Remises,折扣摘要報告,Скидки Сводный отчет,รายงานสรุปส่วนลด,İndirim Özet Raporu,Laporan Ringkasan Diskon,Descontos Resumo Relatório
